from_city;to_city;flux1;flux2;flux3;flux4;flux5;flux6;flux7;flux8;flux9;flux10;fluxN1;fluxN2;fluxN3;fluxN4;fluxN5;fluxN6;fluxN7;fluxN8;fluxN9;fluxN10
Oscherleben;Halberstadt;;;;;;;;;;60;;;;;;;;;;
Bitterfeld;Halle;;;;;;;;;153;;;;;;;;;;;
Leipzig;Halle;;;;;;67;;;;105;;;;;;;;;;
Leipzig;Halle;;;;;;;;;;105;;;;;;;;;;
Sangerhausen;Halle;;;;;;;;;40;;;;;;;;;;;
Sangerhausen;Halle;;;;268;;;;;;;;;;;;;;;;
Weissenfels;Halle;;;;;;;;;389;;;;;;;;;;;
Bremen;Hamburg;;;;985;;;;;;;;;;;;;;;;
Ostsee;Hamburg;;;;;;;;;;;;;;;;;;2117;;
Wiesmar;Hamburg;;;;;;;;25;;;;;;;;;;;;
Essen;Hamm;;;;1685;;;;;;;;;;;;;;;;
Minden;Hannover;;;;1349;;;;;;;;;;;;;;;;
Mannheim;Heidelberg;;400;;33;;;;;;;;;;;;;;;;
Magdeburg;Helmstedt;;;;;;;;;;60;;;;;;;;;;
Essen;Herford;;;;2460;;;;;;;;;;;;;;;;
Osnabrück;Herford;;;;;;25;;;;;;;;;;;;;;
Halberstadt;Hildescheim;;;;;;;;;129;;;;;;;;;;;
Holsminden;Hildescheim;;;;950;;;;;;;;;;;;;;;;
Oscherleben;Hildescheim;;;;119;;;;;;;;;;;;;;;;
Waldenburg;Hirschberg;;;1057;;;;;;;;;;;;;;;;;
Plauen;Hof (Saale);;;;;;788;;;;;;;;;;;;;;
Paderborn;Holsminden;;;;862;;;;;;;;;;;;;;;;
Paderborn;Holsminden;;;;862;;;;;;;;;;;;;;;;
Nordsee;Husum;;;;;;;;;;;;;;;;;;7;;
Tönning;Husum;;;;;;;;23;;;;;;;;;;;;
Krotoschin;Jarotschin;116;;;;;;;;;;;;;;;;;;;
Wilhelmsbrück;Jarotschin;242;;;;;;;;;;;;;;;;;;;
Waldenburg;Jauer;;;578;;;;;;;;;;;;;;;;;
Deutsch Eylau;Jnsterburg;98;;;;;;;;;;;;;;;;;;;
Königsberg;Jnsterburg;;;;;;;;26;;;;;;;;;;;;
Memel;Jnsterburg;;;;;;;;16;;;;;;;;;;;;
Darmstadt;Karlsruhe;;;;279;;;;;;;;;;;;;;;;
Heidelberg;Karlsruhe;;;;218;;10;;;;;;;;;;;;;;
Mannheim;Karlsruhe;;;;268;;;;;;;;;;147;;;;;;
Saarbrücken;Karlsruhe;;588;;;;;;;;;;;;;;;;;;
Saarbrücken;Karlsruhe;;1088;;;;;;;;;;;;;;;;;;
Warburg;Kassel;;;;763;;;;;;;;;;;;;;;;
Neumünster;Kiel;;;;51;;;;12;;;;;;;;;;;;
Neumünster;Kiel;;;;51;;;;12;;;;;;;;;;;;
Ostsee;Kiel;;;;;;;;;;;;;;;;;;202;;
Bonn;Koblenz;;;;2508;;;;;73;;;;;1800;;;;;;
Lauban;Kohlfurth;;;490;;;;;;;;;;;;;;;;;
Lauban;Kohlfurth;;;490;;;;;;;;;;;;;;;;;
Liegnitz;Kohlfurth;506;;;;;;;;;;;;;;;;;;;
